Unnamed: 0,words,left,top,width,height,page,center_x,center_y,prop_height,prop_width,is_error,word_key
0,Serena,68,3,129,22,0,132.5,14.0,0.015256588072122,0.0678947368421052,0,39556a23-82ad-4b09-bc2a-9fdcef071f49
1,Jameka,222,1,129,24,0,286.5,13.0,0.0166435506241331,0.0678947368421052,0,37487f9d-6596-41a3-b030-95db6363faf9
2,Williams,374,0,174,25,0,461.0,12.5,0.0173370319001386,0.091578947368421,0,35b91ded-f8af-47fe-9b79-f33fbd957ff2
3,(born,582,1,100,27,0,632.0,14.5,0.0187239944521497,0.0526315789473684,0,12981ef9-0b84-413b-a03d-8cb9a1b7a52d
4,September,706,1,193,30,0,802.5,16.0,0.0208044382801664,0.101578947368421,0,24f533af-0b78-4c11-aec9-29420f5ba858
5,"26,",926,4,56,25,0,954.0,16.5,0.0173370319001386,0.0294736842105263,0,80b0bead-03ff-4eb5-b52a-d6fe81efda32
6,1981),1015,1,97,27,0,1063.5,14.5,0.0187239944521497,0.0510526315789473,0,5f5f829b-8043-465d-95da-af01f08a81ce
7,is,1148,0,38,25,0,1167.0,12.5,0.0173370319001386,0.02,0,61bcac31-456b-495e-ae4f-9c181dbef1ef
8,an,1212,8,42,17,0,1233.0,16.5,0.0117891816920943,0.0221052631578947,0,f490f867-929a-4823-8197-99f400039a7f
9,American,1276,0,176,25,0,1364.0,12.5,0.0173370319001386,0.0926315789473684,0,228eba24-7cfb-448f-ae13-bcf4173d5d35
10,professional,1474,0,261,31,0,1604.5,15.5,0.0214979195561719,0.1373684210526315,0,103f1fd6-08a8-438b-b085-d2bed2cef35a
11,tennis,1763,0,127,25,0,1826.5,12.5,0.0173370319001386,0.0668421052631579,0,5b2bd76d-2f05-4ed4-9157-40d3b1bd89e4
12,player.,0,91,146,30,0,73.0,106.0,0.0208044382801664,0.0768421052631578,0,4e99dbba-e997-4d64-a3c0-4219da885dbb
13,The,178,91,62,24,0,209.0,103.0,0.0166435506241331,0.0326315789473684,0,6eb23a02-2e79-4f64-95fe-f581463d4c5b
14,Women's,264,94,152,21,0,340.0,104.5,0.0145631067961165,0.08,0,ee3bb1ec-5a04-4134-90c0-3d62a9d9cd2e
15,Tennis,442,90,128,25,0,506.0,102.5,0.0173370319001386,0.0673684210526315,0,d71f8c23-7099-41a2-bd3c-9058bec551f5
16,Association,594,90,242,25,0,715.0,102.5,0.0173370319001386,0.1273684210526315,0,8feff4e4-ebd7-40d6-a857-41bd456c87c5
17,(WTA),868,91,90,27,0,913.0,104.5,0.0187239944521497,0.0473684210526315,0,4a825d61-b793-46c5-8672-f393f406540e
18,has,991,91,63,24,0,1022.5,103.0,0.0166435506241331,0.0331578947368421,0,45a8054d-79d8-4eff-b451-d525dd502290
19,ranked,1080,91,130,24,0,1145.0,103.0,0.0166435506241331,0.0684210526315789,0,840deed7-9bed-4c9a-9f9d-9597b7d8ecd8
20,her,1233,91,62,24,0,1264.0,103.0,0.0166435506241331,0.0326315789473684,0,77c73c8b-a2bc-4dd3-bf91-1f9b2bb18336
21,world,1320,91,110,24,0,1375.0,103.0,0.0166435506241331,0.0578947368421052,0,8f8b1eec-1eef-407a-a139-23aa5f462fca
22,No.,1452,94,58,21,0,1481.0,104.5,0.0145631067961165,0.0305263157894736,0,bd459272-47a4-45f4-b85b-f42ae67da20e
23,1,1543,94,16,21,0,1551.0,104.5,0.0145631067961165,0.0084210526315789,0,caf09ef0-2342-47f2-8e45-2163e6b51d36
24,in,1588,90,40,25,0,1608.0,102.5,0.0173370319001386,0.0210526315789473,0,2106f54a-474c-4008-9138-de6f056ced5b
25,singles,1653,90,149,31,0,1727.5,105.5,0.0214979195561719,0.0784210526315789,0,418154de-a1e4-4fd1-a41d-e5a1dfe824a0
26,on,1828,98,42,17,0,1849.0,106.5,0.0117891816920943,0.0221052631578947,0,c0badce0-ff2c-4c4f-830d-b9ac555109b3
27,six,3,180,63,25,0,34.5,192.5,0.0173370319001386,0.0331578947368421,0,bf427ccc-464a-4e7c-85b1-b8b08ddae748
28,separate,91,184,171,27,0,176.5,197.5,0.0187239944521497,0.09,0,7853bbb1-cbea-4248-b22b-17fef5a89f84
29,occasions.,288,180,210,25,0,393.0,192.5,0.0173370319001386,0.1105263157894736,0,d9f64735-cba5-4af8-9ff0-81abef212c2c
30,She,530,181,62,24,0,561.0,193.0,0.0166435506241331,0.0326315789473684,0,2aa0ab52-32b4-457b-b9e1-2217ad170d7c
